iter	Logloss
0	0.6894168964
1	0.6857084147
2	0.6812463384
3	0.6770122999
4	0.672963869
5	0.6695542263
6	0.6654080704
7	0.6611190429
8	0.658045539
9	0.654326157
10	0.6501737628
11	0.6459782986
12	0.6432097432
13	0.6394313308
14	0.6355845906
15	0.6324949605
16	0.6280952849
17	0.6250123035
18	0.6222262881
19	0.6191280506
20	0.6160139884
21	0.6145998862
22	0.6122548395
23	0.61010926
24	0.6082866351
25	0.6058771896
26	0.6030571786
27	0.6006543372
28	0.5979470479
29	0.5955942754
30	0.5929936907
31	0.5903636769
32	0.5884895515
33	0.5862258655
34	0.5836166442
35	0.581183045
36	0.5794899403
37	0.5775030903
38	0.5751639306
39	0.5728951466
40	0.5709914756
41	0.5694383736
42	0.5680751938
43	0.5663065352
44	0.5641551482
45	0.5620823038
46	0.5603984162
47	0.5581184847
48	0.5562346106
49	0.5539904303
50	0.5526027878
51	0.5507704488
52	0.5485715951
53	0.5465150188
54	0.5449935844
55	0.5447057214
56	0.5428929236
57	0.5407846115
58	0.5383582397
59	0.5366850518
60	0.5346154259
61	0.5328304435
62	0.5306613533
63	0.5290088703
64	0.5278633992
65	0.5259035825
66	0.5240955024
67	0.5220185258
68	0.5206198639
69	0.5189512948
70	0.5171862589
71	0.515341505
72	0.5135696544
73	0.5117793112
74	0.5103843085
75	0.5084951993
76	0.5074958662
77	0.5059249742
78	0.5038866161
79	0.5026324899
80	0.5011143245
81	0.4995246954
82	0.4980981049
83	0.4963831769
84	0.4962605083
85	0.495041871
86	0.4937324461
87	0.4919283249
88	0.4907565126
89	0.4891324916
90	0.487712305
91	0.4863906651
92	0.4850221161
93	0.4846376078
94	0.4840807036
95	0.4828776703
96	0.481359635
97	0.4802176785
98	0.4788373177
99	0.477488047
100	0.4760843785
101	0.4751127735
102	0.4748932136
103	0.4737216529
104	0.4723491145
105	0.4714321671
106	0.4710703527
107	0.4701466052
108	0.4694707159
109	0.4681273784
110	0.4665632683
111	0.4651398848
112	0.4641049407
113	0.4626767925
114	0.4617041995
115	0.460573177
116	0.4591506479
117	0.4575584053
118	0.4563303805
119	0.4550882212
120	0.4536728479
121	0.4525282757
122	0.4512162087
123	0.4500374529
124	0.4488007199
125	0.4476575585
126	0.4462670751
127	0.4448248021
128	0.4433581536
129	0.442512973
130	0.4424110779
131	0.4410945869
132	0.4397191832
133	0.4394119971
134	0.4378017045
135	0.4363052461
136	0.4353600452
137	0.4344973637
138	0.4335012183
139	0.4321835555
140	0.4313707633
141	0.430545339
142	0.4299981786
143	0.4286847885
144	0.4271465323
145	0.4259295789
146	0.4251764223
147	0.4242185173
148	0.4233940545
149	0.4225035611
